,Time,mV,ppb
134,03/07/24:12:57:05,260.268,460
135,03/07/24:12:57:06,260.154,460
136,03/07/24:12:57:07,260.043,460
137,03/07/24:12:57:08,259.958,459
138,03/07/24:12:57:09,259.852,459
139,03/07/24:12:57:10,259.718,459
140,03/07/24:12:57:11,259.59,459
141,03/07/24:12:57:12,259.713,459
142,03/07/24:12:57:13,259.638,459
143,03/07/24:12:57:14,259.478,458
144,03/07/24:12:57:16,259.298,458
145,03/07/24:12:57:17,259.16,458
146,03/07/24:12:57:18,259.001,458
147,03/07/24:12:57:19,258.867,457
148,03/07/24:12:57:20,260.38,460
149,03/07/24:12:57:21,260.523,461
150,03/07/24:12:57:22,260.353,460
151,03/07/24:12:57:23,260.167,460
152,03/07/24:12:57:24,259.975,459
153,03/07/24:12:57:25,259.949,459
154,03/07/24:12:57:26,259.714,459
155,03/07/24:12:57:27,259.514,459
156,03/07/24:12:57:28,259.305,458
157,03/07/24:12:57:29,259.104,458
158,03/07/24:12:57:30,258.938,457
159,03/07/24:12:57:31,258.768,457
160,03/07/24:12:57:32,258.622,457
161,03/07/24:12:57:33,258.48,456
162,03/07/24:12:57:34,258.329,456
163,03/07/24:12:57:35,258.198,456
164,03/07/24:12:57:36,258.19,456
165,03/07/24:12:57:37,258.167,456
166,03/07/24:12:57:38,257.979,455
167,03/07/24:12:57:39,257.765,455
168,03/07/24:12:57:40,257.582,455
169,03/07/24:12:57:41,257.426,454
170,03/07/24:12:57:42,257.267,454
171,03/07/24:12:57:43,257.148,454
172,03/07/24:12:57:44,257.0,454
173,03/07/24:12:57:45,256.828,453
174,03/07/24:12:57:46,256.679,453
175,03/07/24:12:57:47,256.536,453
176,03/07/24:12:57:48,256.456,452
177,03/07/24:12:57:49,256.534,453
178,03/07/24:12:57:51,256.337,452
179,03/07/24:12:57:52,256.156,452
180,03/07/24:12:57:53,255.943,451
181,03/07/24:12:57:54,255.735,451
182,03/07/24:12:57:55,255.583,451
183,03/07/24:12:57:56,255.459,450
184,03/07/24:12:57:57,255.333,450
185,03/07/24:12:57:58,255.179,450
186,03/07/24:12:57:59,255.062,450
187,03/07/24:12:58:00,254.943,449
188,03/07/24:12:58:01,254.804,449
189,03/07/24:12:58:02,254.655,449
190,03/07/24:12:58:03,254.714,449
191,03/07/24:12:58:04,254.571,449
192,03/07/24:12:58:05,254.368,448
193,03/07/24:12:58:06,254.18,448
194,03/07/24:12:58:07,254.018,448
195,03/07/24:12:58:08,253.844,447
196,03/07/24:12:58:09,253.682,447
197,03/07/24:12:58:10,253.508,447
198,03/07/24:12:58:11,253.375,446
199,03/07/24:12:58:12,253.245,446
200,03/07/24:12:58:13,253.088,446
201,03/07/24:12:58:14,252.949,445
202,03/07/24:12:58:15,253.07,446
203,03/07/24:12:58:16,253.024,446
204,03/07/24:12:58:17,252.808,445
205,03/07/24:12:58:18,252.622,445
206,03/07/24:12:58:19,252.44,444
207,03/07/24:12:58:20,252.291,444
208,03/07/24:12:58:21,252.106,444
209,03/07/24:12:58:22,251.924,443
210,03/07/24:12:58:23,251.759,443
211,03/07/24:12:58:25,251.604,443
212,03/07/24:12:58:26,251.471,442
213,03/07/24:12:58:27,251.367,442
214,03/07/24:12:58:28,251.195,442
215,03/07/24:12:58:29,251.049,442
216,03/07/24:12:58:30,250.967,441
217,03/07/24:12:58:31,250.864,441
218,03/07/24:12:58:32,251.006,442
219,03/07/24:12:58:33,250.835,441
220,03/07/24:12:58:34,250.644,441
221,03/07/24:12:58:35,250.448,440
222,03/07/24:12:58:36,250.26,440
223,03/07/24:12:58:37,250.124,440
224,03/07/24:12:58:38,249.945,439
225,03/07/24:12:58:39,249.778,439
226,03/07/24:12:58:40,249.665,439
227,03/07/24:12:58:41,249.525,439
228,03/07/24:12:58:42,249.395,438
229,03/07/24:12:58:43,249.263,438
230,03/07/24:12:58:44,249.083,438
231,03/07/24:12:58:45,249.082,438
232,03/07/24:12:58:46,249.106,438
233,03/07/24:12:58:47,248.874,437
234,03/07/24:12:58:48,248.69,437
235,03/07/24:12:58:49,248.524,437
236,03/07/24:12:58:50,248.38,436
237,03/07/24:12:58:51,248.246,436
238,03/07/24:12:58:52,248.106,436
239,03/07/24:12:58:53,247.976,435
240,03/07/24:12:58:54,247.843,435
241,03/07/24:12:58:55,247.707,435
242,03/07/24:12:58:56,247.604,435
243,03/07/24:12:58:57,247.496,434
244,03/07/24:12:58:58,247.346,434
245,03/07/24:12:59:00,247.079,434
246,03/07/24:12:59:01,247.036,434
247,03/07/24:12:59:02,246.752,433
248,03/07/24:12:59:03,246.475,432
249,03/07/24:12:59:04,246.231,432
250,03/07/24:12:59:05,245.998,431
251,03/07/24:12:59:06,245.808,431
252,03/07/24:12:59:07,245.672,431
253,03/07/24:12:59:08,245.487,430
254,03/07/24:12:59:09,245.345,430
255,03/07/24:12:59:10,245.218,430
256,03/07/24:12:59:11,245.286,430
257,03/07/24:12:59:12,245.218,430
258,03/07/24:12:59:13,245.0,430
259,03/07/24:12:59:14,244.845,429
260,03/07/24:12:59:15,244.687,429
261,03/07/24:12:59:16,244.536,429
262,03/07/24:12:59:17,244.406,428
263,03/07/24:12:59:18,244.268,428
264,03/07/24:12:59:19,244.153,428
265,03/07/24:12:59:20,244.025,428
266,03/07/24:12:59:21,243.911,427
267,03/07/24:12:59:22,243.795,427
268,03/07/24:12:59:23,243.658,427
269,03/07/24:12:59:24,243.573,427
270,03/07/24:12:59:25,243.688,427
271,03/07/24:12:59:26,243.52,427
272,03/07/24:12:59:27,243.397,426
273,03/07/24:12:59:28,243.239,426
274,03/07/24:12:59:29,243.103,426
275,03/07/24:12:59:30,242.945,425
276,03/07/24:12:59:31,242.821,425
277,03/07/24:12:59:32,242.686,425
278,03/07/24:12:59:33,242.58,425
279,03/07/24:12:59:34,242.482,424
280,03/07/24:12:59:35,242.478,424
281,03/07/24:12:59:37,242.566,425
282,03/07/24:12:59:38,242.391,424
283,03/07/24:12:59:39,242.252,424
284,03/07/24:12:59:40,242.098,424
285,03/07/24:12:59:41,241.962,423
286,03/07/24:12:59:42,241.866,423
287,03/07/24:12:59:43,241.77,423
288,03/07/24:12:59:44,241.652,423
289,03/07/24:12:59:45,241.533,423
290,03/07/24:12:59:46,241.4,422
291,03/07/24:12:59:47,241.307,422
292,03/07/24:12:59:48,241.194,422
293,03/07/24:12:59:49,241.257,422
294,03/07/24:12:59:50,241.259,422
295,03/07/24:12:59:51,241.134,422
296,03/07/24:12:59:52,240.978,421
297,03/07/24:12:59:53,240.838,421
298,03/07/24:12:59:54,240.689,421
299,03/07/24:12:59:55,240.552,421
300,03/07/24:12:59:56,240.443,420
301,03/07/24:12:59:57,240.324,420
302,03/07/24:12:59:58,240.235,420
303,03/07/24:12:59:59,240.117,420
304,03/07/24:13:00:00,240.287,420
305,03/07/24:13:00:01,240.126,420
306,03/07/24:13:00:02,239.997,419
307,03/07/24:13:00:03,239.886,419
308,03/07/24:13:00:04,239.75,419
309,03/07/24:13:00:05,239.625,419
310,03/07/24:13:00:06,239.507,419
311,03/07/24:13:00:07,239.415,418
312,03/07/24:13:00:08,239.336,418
313,03/07/24:13:00:09,239.247,418
314,03/07/24:13:00:11,239.201,418
315,03/07/24:13:00:12,239.292,418
316,03/07/24:13:00:13,239.178,418
317,03/07/24:13:00:14,239.04,418
318,03/07/24:13:00:15,238.917,417
319,03/07/24:13:00:16,238.817,417
320,03/07/24:13:00:17,238.706,417
321,03/07/24:13:00:18,238.565,417
322,03/07/24:13:00:19,238.443,416
323,03/07/24:13:00:20,238.298,416
324,03/07/24:13:00:21,238.231,416
325,03/07/24:13:00:22,238.398,416
326,03/07/24:13:00:23,238.304,416
327,03/07/24:13:00:24,238.178,416
328,03/07/24:13:00:25,238.032,416
329,03/07/24:13:00:26,237.91,415
330,03/07/24:13:00:27,237.827,415
331,03/07/24:13:00:28,237.729,415
332,03/07/24:13:00:29,237.627,415
333,03/07/24:13:00:30,237.527,415
334,03/07/24:13:00:31,237.43,414
335,03/07/24:13:00:32,237.352,414
336,03/07/24:13:00:33,237.288,414
337,03/07/24:13:00:34,237.436,414
338,03/07/24:13:00:35,237.451,414
339,03/07/24:13:00:36,237.303,414
340,03/07/24:13:00:37,237.133,414
341,03/07/24:13:00:38,237.013,414
342,03/07/24:13:00:39,236.919,413
343,03/07/24:13:00:40,236.831,413
344,03/07/24:13:00:41,236.731,413
345,03/07/24:13:00:42,236.631,413
346,03/07/24:13:00:43,236.529,413
347,03/07/24:13:00:44,236.414,412
348,03/07/24:13:00:46,236.326,412
349,03/07/24:13:00:47,236.262,412
350,03/07/24:13:00:48,236.189,412
351,03/07/24:13:00:49,236.165,412
352,03/07/24:13:00:50,236.385,412
353,03/07/24:13:00:51,236.265,412
354,03/07/24:13:00:52,236.138,412
355,03/07/24:13:00:53,236.003,412
356,03/07/24:13:00:54,235.916,411
357,03/07/24:13:00:55,235.798,411
358,03/07/24:13:00:56,235.697,411
359,03/07/24:13:00:57,235.615,411
360,03/07/24:13:00:58,235.535,411
361,03/07/24:13:00:59,235.457,410
362,03/07/24:13:01:00,235.376,410
363,03/07/24:13:01:01,235.306,410
364,03/07/24:13:01:02,235.463,410
365,03/07/24:13:01:03,235.4,410
366,03/07/24:13:01:04,235.307,410
367,03/07/24:13:01:05,235.177,410
368,03/07/24:13:01:06,235.052,410
369,03/07/24:13:01:07,234.956,409
370,03/07/24:13:01:08,234.894,409
371,03/07/24:13:01:09,234.807,409
372,03/07/24:13:01:10,234.751,409
373,03/07/24:13:01:11,234.696,409
374,03/07/24:13:01:12,234.633,409
375,03/07/24:13:01:13,234.57,409
376,03/07/24:13:01:14,234.508,409
377,03/07/24:13:01:15,234.691,409
378,03/07/24:13:01:16,234.655,409
379,03/07/24:13:01:17,234.525,409
380,03/07/24:13:01:18,234.387,408
381,03/07/24:13:01:19,234.266,408
382,03/07/24:13:01:20,234.167,408
383,03/07/24:13:01:21,234.07,408
384,03/07/24:13:01:23,234.001,408
385,03/07/24:13:01:24,233.944,407
386,03/07/24:13:01:25,233.868,407
387,03/07/24:13:01:26,233.782,407
388,03/07/24:13:01:27,233.743,407
389,03/07/24:13:01:28,233.683,407
390,03/07/24:13:01:29,233.763,407
391,03/07/24:13:01:30,233.874,407
392,03/07/24:13:01:31,233.738,407
393,03/07/24:13:01:32,233.631,407
394,03/07/24:13:01:33,233.517,407
395,03/07/24:13:01:34,233.425,406
396,03/07/24:13:01:35,233.353,406
397,03/07/24:13:01:36,233.275,406
398,03/07/24:13:01:37,233.213,406
399,03/07/24:13:01:38,233.155,406
400,03/07/24:13:01:39,233.069,406
401,03/07/24:13:01:40,233.015,406
402,03/07/24:13:01:41,232.967,405
403,03/07/24:13:01:42,232.897,405
404,03/07/24:13:01:43,233.134,406
405,03/07/24:13:01:44,233.064,406
406,03/07/24:13:01:45,232.929,405
407,03/07/24:13:01:46,232.838,405
408,03/07/24:13:01:47,232.761,405
409,03/07/24:13:01:48,232.695,405
410,03/07/24:13:01:49,232.621,405
411,03/07/24:13:01:50,232.538,405
412,03/07/24:13:01:51,232.481,404
413,03/07/24:13:01:52,232.442,404
414,03/07/24:13:01:53,232.394,404
415,03/07/24:13:01:54,232.315,404
416,03/07/24:13:01:55,232.25,404
417,03/07/24:13:01:57,232.293,404
418,03/07/24:13:01:58,232.412,404
419,03/07/24:13:01:59,232.315,404
420,03/07/24:13:02:00,232.22,404
421,03/07/24:13:02:01,232.143,404
422,03/07/24:13:02:02,232.06,404
423,03/07/24:13:02:03,232.003,404
424,03/07/24:13:02:04,231.931,403
425,03/07/24:13:02:05,231.857,403
426,03/07/24:13:02:06,231.792,403
427,03/07/24:13:02:07,231.736,403
428,03/07/24:13:02:08,231.679,403
429,03/07/24:13:02:09,231.682,403
430,03/07/24:13:02:10,231.818,403
431,03/07/24:13:02:11,231.739,403
432,03/07/24:13:02:12,231.634,403
433,03/07/24:13:02:13,231.551,403
434,03/07/24:13:02:14,231.451,402
435,03/07/24:13:02:15,231.395,402
436,03/07/24:13:02:16,231.348,402
437,03/07/24:13:02:17,231.272,402
438,03/07/24:13:02:18,231.204,402
439,03/07/24:13:02:19,231.152,402
440,03/07/24:13:02:20,231.114,402
441,03/07/24:13:02:21,231.308,402
442,03/07/24:13:02:22,231.224,402
443,03/07/24:13:02:23,231.131,402
444,03/07/24:13:02:24,231.036,402
445,03/07/24:13:02:25,230.93,401
446,03/07/24:13:02:26,230.863,401
447,03/07/24:13:02:27,230.836,401
448,03/07/24:13:02:28,230.774,401
449,03/07/24:13:02:29,230.71,401
450,03/07/24:13:02:30,230.684,401
451,03/07/24:13:02:32,230.66,401
452,03/07/24:13:02:33,230.812,401
453,03/07/24:13:02:34,230.722,401
454,03/07/24:13:02:35,230.642,401
455,03/07/24:13:02:36,230.6,401
456,03/07/24:13:02:37,230.515,401
457,03/07/24:13:02:38,230.478,400
458,03/07/24:13:02:39,230.363,400
459,03/07/24:13:02:40,230.209,400
460,03/07/24:13:02:41,230.138,400
461,03/07/24:13:02:42,230.086,400
462,03/07/24:13:02:43,230.24,400
463,03/07/24:13:02:44,230.248,400
464,03/07/24:13:02:45,230.132,400
465,03/07/24:13:02:46,230.029,400
466,03/07/24:13:02:47,229.962,399
467,03/07/24:13:02:48,229.905,399
468,03/07/24:13:02:49,229.853,399
469,03/07/24:13:02:50,229.832,399
470,03/07/24:13:02:51,229.756,399
471,03/07/24:13:02:52,229.705,399
472,03/07/24:13:02:53,229.662,399
473,03/07/24:13:02:54,229.591,399
474,03/07/24:13:02:55,229.791,399
475,03/07/24:13:02:56,229.694,399
476,03/07/24:13:02:57,229.603,399
477,03/07/24:13:02:58,229.493,398
478,03/07/24:13:02:59,229.421,398
479,03/07/24:13:03:00,229.366,398
480,03/07/24:13:03:01,229.322,398
481,03/07/24:13:03:02,229.249,398
482,03/07/24:13:03:03,229.19,398
483,03/07/24:13:03:04,229.144,398
484,03/07/24:13:03:06,229.163,398
485,03/07/24:13:03:07,229.294,398
486,03/07/24:13:03:08,229.194,398
487,03/07/24:13:03:09,229.112,398
488,03/07/24:13:03:10,229.031,398
489,03/07/24:13:03:11,228.962,397
490,03/07/24:13:03:12,228.915,397
491,03/07/24:13:03:13,228.844,397
492,03/07/24:13:03:14,228.788,397
493,03/07/24:13:03:15,228.757,397
494,03/07/24:13:03:16,228.71,397
495,03/07/24:13:03:17,228.707,397
496,03/07/24:13:03:18,228.886,397
497,03/07/24:13:03:19,228.788,397
498,03/07/24:13:03:20,228.702,397
499,03/07/24:13:03:21,228.634,397
500,03/07/24:13:03:22,228.564,397
501,03/07/24:13:03:23,228.526,397
502,03/07/24:13:03:24,228.489,396
503,03/07/24:13:03:25,228.431,396
504,03/07/24:13:03:26,228.41,396
505,03/07/24:13:03:27,228.371,396
506,03/07/24:13:03:28,228.317,396
507,03/07/24:13:03:29,228.497,396
508,03/07/24:13:03:30,228.423,396
509,03/07/24:13:03:31,228.32,396
510,03/07/24:13:03:32,228.252,396
511,03/07/24:13:03:33,228.197,396
512,03/07/24:13:03:34,228.166,396
513,03/07/24:13:03:35,228.133,396
514,03/07/24:13:03:36,228.086,396
515,03/07/24:13:03:37,228.042,396
516,03/07/24:13:03:38,228.002,396
517,03/07/24:13:03:39,228.039,396
518,03/07/24:13:03:40,228.214,396
519,03/07/24:13:03:42,228.123,396
520,03/07/24:13:03:43,228.068,396
521,03/07/24:13:03:44,228.014,396
522,03/07/24:13:03:45,227.916,395
523,03/07/24:13:03:46,227.851,395
524,03/07/24:13:03:47,227.769,395
525,03/07/24:13:03:48,227.74,395
526,03/07/24:13:03:49,227.701,395
527,03/07/24:13:03:50,227.692,395
528,03/07/24:13:03:51,227.697,395
529,03/07/24:13:03:52,227.926,395
530,03/07/24:13:03:53,227.848,395
531,03/07/24:13:03:54,227.764,395
532,03/07/24:13:03:55,227.702,395
533,03/07/24:13:03:56,227.656,395
534,03/07/24:13:03:57,227.632,395
535,03/07/24:13:03:58,227.599,395
536,03/07/24:13:03:59,227.582,395
537,03/07/24:13:04:00,227.566,395
538,03/07/24:13:04:01,227.562,395
539,03/07/24:13:04:02,227.544,395
540,03/07/24:13:04:03,227.528,395
541,03/07/24:13:04:04,227.667,395
542,03/07/24:13:04:05,227.763,395
543,03/07/24:13:04:06,227.657,395
544,03/07/24:13:04:07,227.564,395
545,03/07/24:13:04:08,227.53,395
546,03/07/24:13:04:09,227.482,394
547,03/07/24:13:04:10,227.454,394
548,03/07/24:13:04:11,227.417,394
549,03/07/24:13:04:12,227.375,394
550,03/07/24:13:04:13,227.338,394
551,03/07/24:13:04:14,227.286,394
552,03/07/24:13:04:15,227.15,394
553,03/07/24:13:04:16,227.103,394
554,03/07/24:13:04:18,227.225,394
555,03/07/24:13:04:19,227.138,394
556,03/07/24:13:04:20,227.045,394
557,03/07/24:13:04:21,226.979,393
558,03/07/24:13:04:22,226.917,393
559,03/07/24:13:04:23,226.842,393
560,03/07/24:13:04:24,226.803,393
561,03/07/24:13:04:25,226.802,393
562,03/07/24:13:04:26,226.769,393
563,03/07/24:13:04:27,226.742,393
564,03/07/24:13:04:28,226.716,393
565,03/07/24:13:04:29,226.67,393
566,03/07/24:13:04:30,226.745,393
567,03/07/24:13:04:31,226.879,393
568,03/07/24:13:04:32,226.819,393
569,03/07/24:13:04:33,226.721,393
570,03/07/24:13:04:34,226.633,393
571,03/07/24:13:04:35,226.546,393
572,03/07/24:13:04:36,226.523,393
573,03/07/24:13:04:37,226.455,392
574,03/07/24:13:04:38,226.425,392
575,03/07/24:13:04:39,226.425,392
576,03/07/24:13:04:40,226.395,392
577,03/07/24:13:04:41,226.391,392
578,03/07/24:13:04:42,226.485,392
579,03/07/24:13:04:43,226.589,393
580,03/07/24:13:04:44,226.487,392
581,03/07/24:13:04:45,226.365,392
582,03/07/24:13:04:46,226.293,392
583,03/07/24:13:04:47,226.227,392
584,03/07/24:13:04:48,226.182,392
585,03/07/24:13:04:49,226.155,392
586,03/07/24:13:04:50,226.147,392
587,03/07/24:13:04:52,226.146,392
588,03/07/24:13:04:53,226.119,392
589,03/07/24:13:04:54,226.186,392
590,03/07/24:13:04:55,226.299,392
591,03/07/24:13:04:56,226.26,392
592,03/07/24:13:04:57,226.202,392
593,03/07/24:13:04:58,226.16,392
594,03/07/24:13:04:59,226.12,392
595,03/07/24:13:05:00,226.082,392
596,03/07/24:13:05:01,226.033,392
597,03/07/24:13:05:02,225.995,391
598,03/07/24:13:05:03,225.936,391
599,03/07/24:13:05:04,225.892,391
600,03/07/24:13:05:05,225.987,391
601,03/07/24:13:05:06,226.071,392
602,03/07/24:13:05:07,225.995,391
603,03/07/24:13:05:08,225.96,391
604,03/07/24:13:05:09,225.935,391
605,03/07/24:13:05:10,225.9,391
606,03/07/24:13:05:11,225.868,391
607,03/07/24:13:05:12,225.831,391
608,03/07/24:13:05:13,225.794,391
609,03/07/24:13:05:14,225.795,391
610,03/07/24:13:05:15,225.862,391
611,03/07/24:13:05:16,225.926,391
612,03/07/24:13:05:17,225.857,391
613,03/07/24:13:05:18,225.828,391
614,03/07/24:13:05:19,225.805,391
615,03/07/24:13:05:20,225.811,391
616,03/07/24:13:05:21,225.769,391
617,03/07/24:13:05:22,225.728,391
618,03/07/24:13:05:23,225.7,391
619,03/07/24:13:05:24,225.858,391
620,03/07/24:13:05:25,225.859,391
621,03/07/24:13:05:26,225.799,391
622,03/07/24:13:05:27,225.716,391
623,03/07/24:13:05:29,225.668,391
624,03/07/24:13:05:30,225.632,391
625,03/07/24:13:05:31,225.605,391
626,03/07/24:13:05:32,225.597,391
627,03/07/24:13:05:33,225.569,391
628,03/07/24:13:05:34,225.628,391
629,03/07/24:13:05:35,225.743,391
630,03/07/24:13:05:36,225.663,391
631,03/07/24:13:05:37,225.613,391
632,03/07/24:13:05:38,225.594,391
633,03/07/24:13:05:39,225.554,391
634,03/07/24:13:05:40,225.513,391
635,03/07/24:13:05:41,225.479,390
636,03/07/24:13:05:42,225.45,390
637,03/07/24:13:05:43,225.444,390
638,03/07/24:13:05:44,225.575,391
639,03/07/24:13:05:45,225.558,391
640,03/07/24:13:05:46,225.508,391
641,03/07/24:13:05:47,225.45,390
642,03/07/24:13:05:48,225.444,390
643,03/07/24:13:05:49,225.44,390
644,03/07/24:13:05:50,225.42,390
645,03/07/24:13:05:51,225.428,390
646,03/07/24:13:05:52,225.52,391
647,03/07/24:13:05:53,225.589,391
648,03/07/24:13:05:54,225.534,391
649,03/07/24:13:05:55,225.526,391
650,03/07/24:13:05:56,225.524,391
651,03/07/24:13:05:57,225.514,391
652,03/07/24:13:05:58,225.539,391
653,03/07/24:13:05:59,225.562,391
654,03/07/24:13:06:00,225.744,391
655,03/07/24:13:06:01,225.746,391
656,03/07/24:13:06:02,225.733,391
657,03/07/24:13:06:03,225.708,391
658,03/07/24:13:06:04,225.719,391
659,03/07/24:13:06:05,225.782,391
660,03/07/24:13:06:06,225.818,391
661,03/07/24:13:06:08,225.953,391
662,03/07/24:13:06:09,226.129,392
663,03/07/24:13:06:10,226.156,392
664,03/07/24:13:06:11,226.21,392
665,03/07/24:13:06:12,226.235,392
666,03/07/24:13:06:13,226.277,392
667,03/07/24:13:06:14,226.32,392
668,03/07/24:13:06:15,226.356,392
669,03/07/24:13:06:16,226.434,392
670,03/07/24:13:06:17,226.634,393
671,03/07/24:13:06:18,226.638,393
672,03/07/24:13:06:19,226.653,393
673,03/07/24:13:06:20,226.641,393
674,03/07/24:13:06:21,226.657,393
675,03/07/24:13:06:22,226.641,393
676,03/07/24:13:06:23,226.637,393
677,03/07/24:13:06:24,226.653,393
678,03/07/24:13:06:25,226.861,393
679,03/07/24:13:06:26,226.848,393
680,03/07/24:13:06:27,226.798,393
681,03/07/24:13:06:28,226.753,393
682,03/07/24:13:06:29,226.687,393
683,03/07/24:13:06:30,226.665,393
684,03/07/24:13:06:31,226.644,393
685,03/07/24:13:06:32,226.615,393
686,03/07/24:13:06:33,226.581,393
687,03/07/24:13:06:34,226.749,393
688,03/07/24:13:06:35,226.666,393
689,03/07/24:13:06:36,226.612,393
690,03/07/24:13:06:37,226.545,393
691,03/07/24:13:06:38,226.494,392
692,03/07/24:13:06:39,226.454,392
693,03/07/24:13:06:40,226.434,392
694,03/07/24:13:06:42,226.405,392
695,03/07/24:13:06:43,226.542,393
696,03/07/24:13:06:44,226.501,393
697,03/07/24:13:06:45,226.427,392
